Crime Code,year,date_reported,DR_NO,TIME OCC,AREA ,Crm Cd,LAT,LON,Crime Count
626,2010,2010-01-01,300612101,3355,6,1878,102.1723,-354.83320000000003,3
121,2010,2010-01-01,100204033,330,2,121,34.0544,-118.2767,1
624,2010,2010-01-01,400716076,2390,7,2496,136.2129,-473.0866,4
230,2010,2010-01-01,303712178,4190,37,690,102.1225,-354.8003,3
745,2010,2010-01-01,403916111,1100,39,2980,136.2127,-473.075,4
740,2010,2010-01-01,200408043,110,4,1480,68.1075,-236.5438,2
860,2010,2010-01-01,100204031,1100,2,860,34.0534,-118.2745,1
220,2010,2010-01-01,100204011,50,2,220,34.0549,-118.2778,1
900,2010,2010-01-01,101304057,1800,13,900,34.0207,-118.2619,1
930,2010,2010-01-01,100204043,1540,2,930,34.071,-118.2759,1
210,2010,2010-01-01,201304568,2630,13,420,68.1464,-236.543,2
888,2010,2010-01-01,100204035,800,2,888,34.0442,-118.2758,1
350,2010,2010-01-01,100204032,1245,2,350,34.0539,-118.2756,1
310,2010,2010-01-02,100204074,2000,2,310,34.0574,-118.2621,1
251,2010,2010-01-02,101304113,1930,13,251,34.0066,-118.274,1
510,2010,2010-01-02,404116290,4295,41,2040,136.1159,-473.0694,4
437,2010,2010-01-02,101300506,2335,13,437,34.0228,-118.2729,1
624,2010,2010-01-02,504320623,9230,43,3120,170.1666,-591.3418,5
230,2010,2010-01-02,405216453,8385,52,920,136.03959999999998,-473.0824,4
648,2010,2010-01-02,101104058,857,11,648,34.1072,-118.277,1
740,2010,2010-01-02,101304101,1700,13,740,34.0002,-118.274,1
420,2010,2010-01-02,300512223,6530,5,1260,102.15289999999999,-354.7862,3
745,2010,2010-01-02,100204088,1700,2,745,34.0791,-118.2718,1
220,2010,2010-01-02,100204066,1500,2,220,34.0565,-118.2768,1
930,2010,2010-01-02,200408187,4260,4,1860,68.1078,-236.5424,2
210,2010,2010-01-02,200408124,2130,4,420,68.1138,-236.5459,2
626,2010,2010-01-02,200408219,1730,4,1252,68.1187,-236.551,2
330,2010,2010-01-02,200208159,2540,2,660,68.0848,-236.5436,2
331,2010,2010-01-02,100304308,1330,3,331,34.0261,-118.2773,1
350,2010,2010-01-02,101304090,1540,13,350,34.0219,-118.2734,1
350,2010,2010-01-03,202608321,2540,26,700,68.01310000000001,-236.5546,2
420,2010,2010-01-03,101104155,1700,11,420,34.0871,-118.2684,1
624,2010,2010-01-03,300712373,4219,7,1872,102.13750000000002,-354.8318,3
341,2010,2010-01-03,101300507,30,13,341,34.0197,-118.2749,1
860,2010,2010-01-03,101104441,200,11,860,34.1097,-118.2739,1
740,2010,2010-01-03,100204115,1150,2,740,34.0727,-118.2706,1
626,2010,2010-01-03,100204101,300,2,626,34.0512,-118.2787,1
745,2010,2010-01-03,101104099,200,11,745,34.0848,-118.2745,1
900,2010,2010-01-03,101304154,2000,13,900,34.0128,-118.2623,1
230,2010,2010-01-03,100304128,5,3,230,34.0274,-118.2765,1
442,2010,2010-01-03,503716912,6470,37,2210,170.36450000000002,-591.3287,5
510,2010,2010-01-03,100204097,2000,2,510,34.0699,-118.2777,1
330,2010,2010-01-03,202408236,3000,24,660,68.1102,-236.5413,2
440,2010,2010-01-04,101304196,1400,13,440,34.0172,-118.2694,1
624,2010,2010-01-04,301712491,1530,17,1872,102.13759999999999,-354.8243,3
740,2010,2010-01-04,303512616,4240,35,2220,102.21209999999999,-354.81780000000003,3
341,2010,2010-01-04,202408367,3750,24,682,68.0877,-236.54540000000003,2
510,2010,2010-01-04,303712474,4230,37,1530,102.14,-354.8005,3
310,2010,2010-01-04,100204160,2030,2,310,34.0498,-118.2754,1
745,2010,2010-01-04,302612566,3835,26,2235,102.1899,-354.80060000000003,3
210,2010,2010-01-04,200408325,3030,4,420,68.1273,-236.548,2
626,2010,2010-01-04,303512545,3890,35,1878,102.19919999999999,-354.814,3
330,2010,2010-01-04,202208310,2131,22,660,68.2262,-236.5581,2
442,2010,2010-01-05,101104261,1830,11,442,34.0798,-118.2602,1
310,2010,2010-01-05,101304289,2200,13,310,34.0235,-118.2681,1
946,2010,2010-01-05,100104189,1635,1,946,34.043,-118.2641,1
740,2010,2010-01-05,101104234,2200,11,740,34.097,-118.2665,1
626,2010,2010-01-05,300612652,3640,6,1878,102.18540000000002,-354.7949,3
220,2010,2010-01-05,101304298,2115,13,220,34.0092,-118.2652,1
440,2010,2010-01-05,101304299,1745,13,440,34.0111,-118.274,1
850,2010,2010-01-05,100204214,1135,2,850,34.0439,-118.2752,1
510,2010,2010-01-05,504021064,4270,40,2550,170.1809,-591.3430999999999,5
930,2010,2010-01-05,101104246,800,11,930,34.0937,-118.2781,1
230,2010,2010-01-05,100204227,2130,2,230,34.0469,-118.26899999999999,1
330,2010,2010-01-05,200308452,1905,3,660,68.1171,-236.5404,2
761,2010,2010-01-05,100204220,1525,2,761,34.043,-118.2779,1
341,2010,2010-01-05,100104253,2300,1,341,34.0363,-118.2677,1
624,2010,2010-01-05,202608519,2260,26,1248,68.0374,-236.5452,2
310,2010,2010-01-06,101304350,1100,13,310,34.0039,-118.2696,1
442,2010,2010-01-06,101104367,1545,11,442,34.1068,-118.2723,1
341,2010,2010-01-06,100204306,1100,2,341,34.0622,-118.2653,1
956,2010,2010-01-06,101304349,1500,13,956,34.0092,-118.2652,1
330,2010,2010-01-06,101104370,1930,11,330,34.1084,-118.2638,1
660,2010,2010-01-06,100200511,1925,2,660,34.0586,-118.2691,1
740,2010,2010-01-06,202408652,3200,24,1480,68.11959999999999,-236.5455,2
510,2010,2010-01-06,401717098,5445,17,2040,136.31910000000002,-473.10249999999996,4
230,2010,2010-01-06,200308570,2775,3,460,68.09270000000001,-236.53609999999998,2
440,2010,2010-01-06,201308667,2730,13,880,68.1494,-236.5306,2
745,2010,2010-01-06,100204814,1400,2,745,34.0663,-118.2719,1
210,2010,2010-01-06,300612874,4090,6,630,102.1677,-354.8029,3
626,2010,2010-01-06,101304351,2300,13,626,34.0057,-118.2728,1
624,2010,2010-01-06,300512802,3775,5,1872,102.15950000000001,-354.8188,3
510,2010,2010-01-07,201408702,3215,14,1020,68.0524,-236.538,2
626,2010,2010-01-07,100304375,830,3,626,34.0339,-118.2755,1
230,2010,2010-01-07,100204362,2025,2,230,34.0717,-118.2671,1
740,2010,2010-01-07,101104382,2030,11,740,34.1334,-118.26899999999999,1
930,2010,2010-01-07,302813179,5620,28,2790,102.09960000000001,-354.813,3
901,2010,2010-01-07,201308768,2220,13,1802,68.1502,-236.5539,2
442,2010,2010-01-07,100204350,1610,2,442,34.0854,-118.2748,1
122,2010,2010-01-07,101304420,400,13,122,34.0017,-118.2617,1
235,2010,2010-01-07,100200512,2000,2,235,34.0746,-118.2707,1
624,2010,2010-01-07,401917431,5040,19,2496,136.1984,-473.0879,4
330,2010,2010-01-07,101304434,2200,13,330,34.0112,-118.2716,1
354,2010,2010-01-07,201208735,131,12,708,68.1421,-236.5405,2
310,2010,2010-01-07,200408761,1700,4,620,68.11670000000001,-236.5279,2
331,2010,2010-01-07,101104381,2100,11,331,34.1134,-118.2791,1
420,2010,2010-01-07,101304388,1600,13,420,34.032,-118.2667,1
237,2010,2010-01-07,100204365,2000,2,237,34.0746,-118.2707,1
320,2010,2010-01-07,100204354,700,2,320,34.0591,-118.2635,1
928,2010,2010-01-07,101104400,43,11,928,34.1097,-118.2739,1
210,2010,2010-01-07,300613024,5730,6,630,102.17060000000001,-354.82910000000004,3
350,2010,2010-01-08,100204397,1115,2,350,34.0632,-118.2771,1
624,2010,2010-01-08,301509367,4165,15,1872,102.18950000000001,-354.8043,3
740,2010,2010-01-08,101304512,1500,13,740,34.0121,-118.2696,1
310,2010,2010-01-08,101304536,800,13,310,34.0218,-118.2665,1
900,2010,2010-01-08,100204421,1625,2,900,34.0569,-118.2689,1
930,2010,2010-01-08,302813447,5240,28,2790,102.08680000000001,-354.7883,3
442,2010,2010-01-08,100204418,1700,2,442,34.0613,-118.2689,1
341,2010,2010-01-08,100204388,1500,2,341,34.0596,-118.27,1
420,2010,2010-01-08,100204393,2000,2,420,34.073,-118.264,1
440,2010,2010-01-08,100104641,1618,1,440,34.0401,-118.2668,1
354,2010,2010-01-08,100204410,1300,2,354,34.0683,-118.2739,1
330,2010,2010-01-08,100100508,2005,1,330,34.0389,-118.2643,1
745,2010,2010-01-08,300613224,5200,6,2235,102.18090000000001,-354.8135,3
648,2010,2010-01-08,100204638,25,2,648,34.0488,-118.2775,1
220,2010,2010-01-08,100204419,2210,2,220,34.0544,-118.2767,1
510,2010,2010-01-08,401917644,5780,19,2040,136.24579999999997,-473.08910000000003,4
626,2010,2010-01-08,200508836,3660,5,1252,68.0705,-236.53840000000002,2
210,2010,2010-01-08,300513182,2410,5,630,102.1601,-354.8117,3
745,2010,2010-01-09,101104531,1,11,745,34.1017,-118.2609,1
330,2010,2010-01-09,202409233,1910,24,660,68.1166,-236.5419,2
946,2010,2010-01-09,101304581,1920,13,946,34.0073,-118.2784,1
956,2010,2010-01-09,101304580,2240,13,956,34.0225,-118.2607,1
420,2010,2010-01-09,100204442,2200,2,420,34.0648,-118.2696,1
624,2010,2010-01-09,200308924,2675,3,1248,68.0927,-236.53320000000002,2
220,2010,2010-01-09,200409028,3835,4,440,68.11420000000001,-236.54160000000002,2
930,2010,2010-01-09,100204467,1330,2,930,34.0758,-118.2749,1
210,2010,2010-01-09,101304554,1140,13,210,34.001,-118.2783,1
860,2010,2010-01-09,100204449,310,2,860,34.0538,-118.2616,1
341,2010,2010-01-09,100204444,1400,2,341,34.0515,-118.2615,1
626,2010,2010-01-09,302813663,6395,28,1878,102.11909999999999,-354.7978,3
442,2010,2010-01-09,101104535,2115,11,442,34.1068,-118.2723,1
480,2010,2010-01-09,100305038,1830,3,480,34.0328,-118.2785,1
230,2010,2010-01-09,100100510,230,1,230,34.045,-118.264,1
763,2010,2010-01-09,101304567,1300,13,763,34.016,-118.2743,1
510,2010,2010-01-09,200408867,1500,4,1020,68.0977,-236.53750000000002,2
813,2010,2010-01-09,100204466,1800,2,813,34.0512,-118.2787,1
740,2010,2010-01-09,100204477,1540,2,740,34.0649,-118.2797,1
626,2010,2010-01-10,100204483,200,2,626,34.0767,-118.2707,1
900,2010,2010-01-10,100204505,1700,2,900,34.0582,-118.2669,1
850,2010,2010-01-10,100204500,2030,2,850,34.0515,-118.2615,1
440,2010,2010-01-10,100104520,300,1,440,34.0473,-118.2601,1
341,2010,2010-01-10,100204492,900,2,341,34.0544,-118.2723,1
624,2010,2010-01-10,910441504,11860,104,5616,306.2574,-1064.4202,9
745,2010,2010-01-10,100104509,115,1,745,34.0312,-118.2615,1
350,2010,2010-01-10,101304617,1155,13,350,34.0136,-118.2611,1
740,2010,2010-01-10,501022517,9905,10,3700,170.2922,-591.3479,5
930,2010,2010-01-10,101304634,100,13,930,34.0025,-118.2634,1
420,2010,2010-01-10,100204465,2300,2,420,34.0652,-118.26700000000001,1
434,2010,2010-01-10,101304701,1900,13,434,34.0248,-118.2715,1
230,2010,2010-01-10,301713610,2490,17,690,102.1329,-354.82439999999997,3
510,2010,2010-01-10,401818073,5545,18,2040,136.16389999999998,-473.07980000000003,4
210,2010,2010-01-10,402018238,2870,20,840,136.1669,-473.0778,4
354,2010,2010-01-11,100304689,1500,3,354,34.0339,-118.2755,1
740,2010,2010-01-11,201509263,2145,15,1480,68.0615,-236.5333,2
330,2010,2010-01-11,201309136,2300,13,660,68.1931,-236.53359999999998,2
745,2010,2010-01-11,202409336,2935,24,1490,68.1352,-236.5233,2
210,2010,2010-01-11,201509189,1560,15,420,68.0769,-236.54149999999998,2
420,2010,2010-01-11,101304728,2200,13,420,34.0039,-118.2652,1
626,2010,2010-01-11,200409142,3600,4,1252,68.1156,-236.5382,2
341,2010,2010-01-11,300613671,4930,6,1023,102.18239999999999,-354.8287,3
230,2010,2010-01-11,100204552,1200,2,230,34.0716,-118.2719,1
930,2010,2010-01-11,100104579,1145,1,930,34.0311,-118.2646,1
310,2010,2010-01-11,101304724,700,13,310,34.0008,-118.2617,1
901,2010,2010-01-11,100204571,2100,2,901,34.0596,-118.2749,1
440,2010,2010-01-11,101104587,5,11,440,34.097,-118.2768,1
510,2010,2010-01-11,403018431,5830,30,2040,136.1591,-473.09090000000003,4
341,2010,2010-01-12,101304796,1100,13,341,34.0205,-118.27,1
230,2010,2010-01-12,302814174,4785,28,690,102.1226,-354.797,3
740,2010,2010-01-12,101304779,2000,13,740,34.0082,-118.274,1
354,2010,2010-01-12,202209367,1201,22,708,68.2207,-236.55079999999998,2
310,2010,2010-01-12,101304746,830,13,310,34.0146,-118.2634,1
510,2010,2010-01-12,301814100,4255,18,1530,102.0825,-354.8276,3
626,2010,2010-01-12,201609498,2955,16,1252,68.0365,-236.54039999999998,2
440,2010,2010-01-12,101304817,1700,13,440,34.0215,-118.2681,1
210,2010,2010-01-12,401918616,5530,19,840,136.1903,-473.0881,4
624,2010,2010-01-12,511023010,6175,10,3120,170.3307,-591.3634,5
420,2010,2010-01-12,200409232,4100,4,840,68.131,-236.5245,2
330,2010,2010-01-12,716232783,12405,62,2310,238.4256,-827.8912,7
210,2010,2010-01-13,200409311,4050,4,420,68.1081,-236.5523,2
510,2010,2010-01-13,100304815,1600,3,510,34.032,-118.2767,1
440,2010,2010-01-13,200309361,1940,3,880,68.09100000000001,-236.5403,2
930,2010,2010-01-13,101304905,1805,13,930,34.0171,-118.2618,1
420,2010,2010-01-13,201509495,3915,15,840,68.0775,-236.5274,2
753,2010,2010-01-13,101304846,1445,13,753,34.0057,-118.2685,1
341,2010,2010-01-13,301714182,4630,17,1023,102.1385,-354.82050000000004,3
310,2010,2010-01-13,300609825,4090,6,930,102.1803,-354.8047,3
230,2010,2010-01-13,101304835,1030,13,230,34.0146,-118.26799999999999,1
812,2010,2010-01-13,202609739,3090,26,1624,68.0222,-236.548,2
330,2010,2010-01-13,200409317,3320,4,660,68.1174,-236.5328,2
740,2010,2010-01-13,201309449,3835,13,1480,68.156,-236.53480000000002,2
624,2010,2010-01-13,401918870,5240,19,2496,136.17790000000002,-473.0711,4
956,2010,2010-01-13,100204644,840,2,956,34.0554,-118.2789,1
626,2010,2010-01-13,100204635,205,2,626,34.0607,-118.2725,1
331,2010,2010-01-13,101104810,1800,11,331,34.1413,-118.2728,1
850,2010,2010-01-13,100104668,10,1,850,34.0415,-118.2654,1
442,2010,2010-01-13,101304867,1700,13,442,34.0296,-118.2614,1
330,2010,2010-01-14,200309509,3200,3,660,68.1143,-236.5405,2
745,2010,2010-01-14,303714679,6395,37,2235,102.14239999999998,-354.8101,3
331,2010,2010-01-14,101104852,1400,11,331,34.1183,-118.2737,1
440,2010,2010-01-14,101104859,30,11,440,34.117,-118.2717,1
210,2010,2010-01-14,100204734,1800,2,210,34.0484,-118.2724,1
341,2010,2010-01-14,101304940,1145,13,341,34.0111,-118.274,1
930,2010,2010-01-14,301714418,4945,17,2790,102.1296,-354.8156,3
350,2010,2010-01-14,100204751,1900,2,350,34.0534,-118.2745,1
510,2010,2010-01-14,302414389,3815,24,1530,102.2674,-354.81,3
649,2010,2010-01-14,100204724,1200,2,649,34.0512,-118.2787,1
230,2010,2010-01-14,101304959,1730,13,230,34.0076,-118.2653,1
310,2010,2010-01-14,302814558,3745,28,930,102.09629999999999,-354.8042,3
121,2010,2010-01-14,100200521,1630,2,121,34.0684,-118.2705,1
740,2010,2010-01-14,101104840,2230,11,740,34.1209,-118.2729,1
624,2010,2010-01-14,301614471,5070,16,1872,102.10929999999999,-354.7937,3
900,2010,2010-01-14,201609830,3200,16,1800,68.0393,-236.5444,2
345,2010,2010-01-14,100204714,1030,2,345,34.0745,-118.2793,1
220,2010,2010-01-14,100204694,245,2,220,34.0549,-118.2778,1
930,2010,2010-01-15,201509720,2800,15,1860,68.09190000000001,-236.55270000000002,2
900,2010,2010-01-15,100200523,1615,2,900,34.0462,-118.27600000000001,1
888,2010,2010-01-15,101104933,815,11,888,34.0953,-118.2678,1
210,2010,2010-01-15,303710462,5090,37,630,102.1345,-354.8177,3
956,2010,2010-01-15,100204753,1300,2,956,34.0559,-118.2756,1
310,2010,2010-01-15,402619327,5105,26,1240,136.3045,-473.07959999999997,4
624,2010,2010-01-15,400719294,6675,7,2496,136.2203,-473.0646,4
440,2010,2010-01-15,302414576,3960,24,1320,102.24900000000001,-354.8159,3
626,2010,2010-01-15,100304921,30,3,626,34.0282,-118.2749,1
510,2010,2010-01-15,201309632,3530,13,1020,68.2219,-236.5451,2
320,2010,2010-01-15,101104868,1720,11,320,34.0943,-118.2668,1
420,2010,2010-01-15,201509793,2940,15,840,68.0641,-236.5366,2
330,2010,2010-01-15,301514424,5755,15,990,102.24100000000001,-354.8118,3
660,2010,2010-01-15,101104925,2100,11,660,34.1265,-118.2628,1
341,2010,2010-01-15,100204811,1130,2,341,34.0573,-118.2699,1
251,2010,2010-01-15,100204804,2330,2,251,34.0585,-118.2725,1
740,2010,2010-01-15,200305309,2355,3,1480,68.1072,-236.5328,2
745,2010,2010-01-15,201509754,3460,15,1490,68.0764,-236.5386,2
230,2010,2010-01-15,101305014,1730,13,230,34.0076,-118.2653,1
237,2010,2010-01-16,101305090,130,13,237,34.0039,-118.2685,1
210,2010,2010-01-16,403915518,4335,39,840,136.1743,-473.05740000000003,4
520,2010,2010-01-16,100204800,140,2,520,34.0621,-118.2684,1
624,2010,2010-01-16,301414701,3475,14,1872,102.18960000000001,-354.80219999999997,3
440,2010,2010-01-16,201309779,2800,13,880,68.1828,-236.55180000000001,2
350,2010,2010-01-16,100204822,1300,2,350,34.0524,-118.2633,1
331,2010,2010-01-16,201309785,3830,13,662,68.14840000000001,-236.5392,2
354,2010,2010-01-16,100104885,900,1,354,34.0416,-118.262,1
121,2010,2010-01-16,100200524,2000,2,121,34.0591,-118.2635,1
860,2010,2010-01-16,101305110,1130,13,860,34.0076,-118.2653,1
442,2010,2010-01-16,100204840,2055,2,442,34.0508,-118.2722,1
946,2010,2010-01-16,202209891,2208,22,1892,68.1738,-236.5352,2
740,2010,2010-01-16,200309670,4000,3,1480,68.1006,-236.5359,2
930,2010,2010-01-16,200509882,3855,5,1860,68.0832,-236.5523,2
330,2010,2010-01-16,100204819,300,2,330,34.0549,-118.2614,1
626,2010,2010-01-16,400819281,6430,8,2504,136.235,-473.08379999999994,4
930,2010,2010-01-17,100104916,1100,1,930,34.0372,-118.2654,1
745,2010,2010-01-17,201410079,550,14,1490,68.0618,-236.5328,2
434,2010,2010-01-17,100204855,1515,2,434,34.0579,-118.2711,1
420,2010,2010-01-17,101105000,1200,11,420,34.1009,-118.2779,1
330,2010,2010-01-17,100204873,1410,2,330,34.0687,-118.275,1
946,2010,2010-01-17,100204856,1340,2,946,34.0596,-118.2749,1
210,2010,2010-01-17,101305143,1330,13,210,34.0154,-118.2629,1
510,2010,2010-01-17,101305115,2000,13,510,34.0075,-118.2613,1
626,2010,2010-01-17,100204844,215,2,626,34.0529,-118.2733,1
740,2010,2010-01-17,301714878,4630,17,2220,102.15199999999999,-354.818,3
900,2010,2010-01-17,100204861,1800,2,900,34.0585,-118.2725,1
888,2010,2010-01-18,100204913,420,2,888,34.0594,-118.26100000000001,1
438,2010,2010-01-18,100204884,2300,2,438,34.0721,-118.2785,1
420,2010,2010-01-18,101105058,800,11,420,34.1128,-118.2679,1
341,2010,2010-01-18,100104961,745,1,341,34.0408,-118.2644,1
626,2010,2010-01-18,101305188,2140,13,626,34.0039,-118.2696,1
210,2010,2010-01-18,101305159,1240,13,210,34.0039,-118.2665,1
330,2010,2010-01-18,300614719,5030,6,990,102.1894,-354.8174,3
930,2010,2010-01-18,200309875,1930,3,1860,68.0986,-236.5291,2
310,2010,2010-01-18,302815251,4690,28,930,102.092,-354.8105,3
510,2010,2010-01-18,101105048,1800,11,510,34.0781,-118.2605,1
648,2010,2010-01-19,101305192,2340,13,648,34.001999999999995,-118.2718,1
